pinyin,zh,eng,rad,mean_intensity,mean_intensity_sd,type1,type1_p,type2,type2_p,pos,neg,neu
huangkong,惶恐,terrified,3,5.95,0.93,Fr,95.5,Ax,4.5,0,86.4,13.6
huangluan,慌乱,anxious,2,5.83,0.99,Ax,66.7,Fr,33.3,4.2,79.2,16.7
huangzhang,慌张,anxious,2,5,0.82,Ax,79.2,Fr,16.7,0,66.7,33.3
huankuai,欢快,happy,2,5.7,1,Hp,100,NA,0,100,0,0
huanle,欢乐,happy,0,5,1.14,Hp,100,NA,0,95.7,0,4.3
huanxi,欢喜,joyful,0,5.87,0.99,Hp,100,NA,0,95.7,0,4.3
huanxin,欢欣,joyful,0,5.13,1.03,Hp,100,NA,0,95.7,0,4.3
huanyu,欢娱,pleasure,0,4.75,1.51,Hp,95.8,Ot,4.2,75,0,25
huanyu,欢愉,delighted,2,5.48,0.97,Hp,100,NA,0,95.7,0,4.3
huanyue,欢悦,pleased,2,5.74,1.03,Hp,100,NA,0,95.7,0,4.3
huihen,悔恨,regretful,2,5.78,1.1,Ot,56.5,Sd,30.4,4.3,69.6,26.1
huixin,灰心,discouraged,1,4.43,1.14,Sd,56.5,Ot,34.8,4.3,87,8.7
huo,火,angry,0,3.79,2.45,Nu,37.5,Ag,33.3,26.1,21.7,52.2
ji,急,anxious,1,4.92,1.55,Ax,79.2,Ot,16.7,0,25,75
jiang,激昂,excited,0,5.78,1.14,Hp,47.8,Ot,47.8,82.6,0,17.4
jiaoao,骄傲,proud,0,4.79,1.47,Hp,70.8,Ot,20.8,37.5,8.3,54.2
jiaochong,娇宠,indulge,0,3.74,1.85,Ot,52.2,Hp,26.1,4.5,59.1,36.4
jiaoheng,骄横,arrogant,0,5.41,1.72,Ot,68.2,Dg,18.2,0,90.9,9.1
jiaoji,焦急,worried,1,5.5,1.12,Ax,100,NA,0,0,79.2,20.8
jiaojin,骄矜,proud,0,5.13,1.36,Ot,41.7,Un,37.5,6.7,73.3,20
jiaoke,焦渴,anxious,0,4.77,1.54,Ax,78.3,Ot,13,0,50,50
jiaolv,焦虑,anxious,1,5.59,1.23,Ax,100,NA,0,0,63.6,36.4
jiaoman,骄慢,arrogant,2,4.78,1.86,Dg,43.5,Ot,39.1,0,78.3,21.7
jiaozao,焦躁,anxious,0,5.88,0.93,Ax,100,NA,0,0,91.7,8.3
jiaozhi,焦炙,anxious,0,5.71,1.24,Ax,87.5,Un,12.5,0,71.4,28.6
jidong,激动,excited,0,5.88,1.27,Hp,54.2,Ot,37.5,50,0,50
jidu,嫉妒,jealous,0,5.67,1.34,Dg,45.8,Ot,41.7,0,91.7,8.3
jidu,忌妒,jealous,1,5.57,1.47,Ot,39.1,Dg,34.8,0,91.3,8.7
jiehen,解恨,vent,2,5.41,1.27,Hp,54.5,Ag,18.2,27.3,31.8,40.9
jifen,激愤,wrathful,2,6.54,1,Ag,91.7,Dg,4.2,8.3,50,41.7
jihen,嫉恨,jealous,2,6.26,0.74,Dg,82.6,Ag,13,0,95.7,4.3
jihen,忌恨,hate,3,6.35,0.76,Dg,60.9,Ag,26.1,0,95.7,4.3
jimo,寂寞,lonely,0,4.48,1.31,Sd,39.1,Ot,39.1,0,47.8,52.2
jingcha,惊诧,astonished,2,5.57,0.97,Sp,100,NA,0,0,8.7,91.3
jinge,惊愕,stunned,2,6.26,0.74,Sp,95.7,Fr,4.3,0,17.4,82.6
jinghai,惊骇,frightened,2,6.18,0.89,Sp,77.3,Fr,22.7,4.5,54.5,40.9
jinghuang,惊惶,frightened,2,5.96,1.02,Fr,58.3,Ax,25,0,87.5,12.5
jinghuang,惊慌,terrified,2,5.39,1.31,Fr,43.5,Sp,39.1,0,56.5,43.5
jingju,惊惧,frightened,2,6.39,0.87,Fr,65.2,Sp,30.4,0,60.9,39.1
jingkong,惊恐,terrified,3,6.09,1.06,Sp,56.5,Fr,43.5,0,69.6,30.4
jingmu,敬慕,admire,0,5.43,1.38,Ot,78.3,Hp,17.4,95.7,0,4.3
jingmu,景慕,admire,0,4.88,1.64,Hp,75,Ot,20.8,95.8,0,4.2
jingpei,敬佩,admire,0,5.09,1.18,Ot,60.9,Hp,34.8,91.3,0,8.7
jingqi,惊奇,surprised,2,5.23,1.24,Sp,95.5,Hp,4.5,18.2,0,81.8
jingxi,惊喜,happily,2,5.57,0.88,Hp,87,Sp,13,91.3,0,8.7
jingya,惊讶,surprised,2,4.7,1.6,Sp,95.7,Nu,4.3,4.3,4.3,91.3
jingyang,敬仰,revere,0,5.09,1.62,Ot,52.2,Hp,43.5,95.5,0,4.5
jingyang,景仰,revere,0,5.52,1.56,Ot,56.5,Hp,39.1,90.9,0,9.1
jingyi,惊疑,surprised,2,5.38,0.95,Sp,100,NA,0,0,20.8,79.2
jingzhong,敬重,revere,0,5.36,1.55,Ot,72.7,Hp,22.7,86.4,4.5,9.1
jinzhang,紧张,nervous,0,4.45,1.64,Ax,90.9,Nu,4.5,0,63.6,36.4
jiong,窘,embarrassed,0,4.78,1.5,Ot,69.6,Ax,17.4,0,69.6,30.4
jiongcu,窘促,embarrassed,0,4.57,1.05,Ot,56.5,Ax,26.1,0,66.7,33.3
jiuxin,揪心,anxious,1,6,0.74,Ax,50,Sd,22.7,4.5,54.5,40.9
juanlian,眷恋,sentimentally,1,4.91,1.53,Ot,52.2,Hp,34.8,73.9,0,26.1
juewang,绝望,hopeless,0,6.83,0.38,Sd,47.8,Fr,26.1,0,82.6,17.4
jusang,沮丧,depressed,0,5.41,1.15,Sd,86.4,Ax,13.6,0,90.9,9.1
kaixin,开心,happy,1,5.46,0.82,Hp,100,NA,0,100,0,0
kanbuguan,看不惯,cannot,2,4.39,1.24,Dg,69.6,Ot,21.7,0,65.2,34.8
kangfen,亢奋,excited,0,5.75,1.61,Hp,50,Ot,45.8,16.7,16.7,66.7
kangle,康乐,recreation,0,3.25,1.76,Hp,56.5,Nu,21.7,75,0,25
kexi,可惜,pity,2,3.96,1.37,Sd,65.2,Ot,34.8,13,34.8,52.2
kexin,可心,satisfied,1,4.44,1.46,Hp,65.2,Un,30.4,100,0,0
keyi,可意,gratifying,1,4,1.62,Hp,54.2,Un,33.3,75,0,25
konghuang,恐慌,panic,3,6.17,0.9,Fr,79.2,Ax,16.7,4.2,91.7,4.2
kongju,恐惧,fear,3,6.14,1.18,Fr,100,NA,0,0,86.4,13.6
ku,苦,bitter,0,4.35,1.43,Sd,65.2,Ot,26.1,0,60.9,39.1
kuaihuo,快活,happy,2,5.27,1.39,Hp,100,NA,0,81.8,4.5,13.6
kuaile,快乐,happy,2,5.18,1.37,Hp,100,NA,0,95.5,0,4.5
kuaiwei,快慰,pleased,3,4.86,1.14,Hp,95.5,Ot,4.5,81.8,0,18.2
kuang,狂,crazy,0,5.13,1.7,Ot,56.5,Dg,17.4,4.3,65.2,30.4
kuangluan,狂乱,frenzy,0,6,1.17,Ax,47.8,Ot,26.1,0,86.4,13.6
kuangre,狂热,fanatical,0,6.17,0.87,Hp,56.5,Ot,39.1,30.4,21.7,47.8
kuanxin,宽心,relieved,1,3.63,1.47,Hp,58.3,Ot,25,83.3,0,16.7
kumen,苦闷,depressed,1,4.96,1.1,Sd,45.8,Ax,33.3,0,91.7,8.3
kunao,苦恼,troubled,2,5.25,1.09,Ax,62.5,Sd,20.8,0,66.7,33.3
kunhuo,困惑,confused,1,3.87,1.26,Ot,60.9,Ax,30.4,4.3,21.7,73.9
kunjun,困窘,embarrassed,0,4.41,1.3,Ot,45.5,Ax,36.4,0,77.3,22.7
laijin,来劲,in,0,4.91,1.35,Hp,63.6,Ot,22.7,63.6,9.1,27.3
leyi,乐意,willing,1,4.63,1.28,Hp,100,NA,0,91.7,0,8.3
leyu,乐于,delight,0,4.04,1.63,Hp,87,Nu,13,90.9,0,9.1
lianmin,怜悯,compassionate,2,4.14,1.66,Ot,63.6,Sd,22.7,22.7,18.2,59.1
lianxi,怜惜,compassionate,2,4.09,1.32,Ot,69.6,Sd,17.4,43.5,4.3,52.2
liaojie,了解,understand,0,1.17,0.64,Nu,87,Ot,8.7,8.7,0,91.3
lijie,理解,understand,0,2.38,1.7,Nu,45.8,Ot,41.7,56.5,0,43.5
linxi,吝惜,miserly,2,3.65,1.76,Ot,65.2,Nu,13,8.7,47.8,43.5
liushen,留神,careful,0,1.65,1.24,Nu,73.9,Ot,26.1,4.5,0,95.5
manyi,满意,satisfied,1,4.83,1.24,Hp,100,NA,0,95.7,0,4.3
mieshi,蔑视,despise,0,5.88,1.09,Dg,83.3,Ag,12.5,0,95.8,4.2
naohen,恼恨,hate,2,5.87,0.85,Ag,56.5,Dg,21.7,0,60.9,39.1
niai,溺爱,spoil,0,5.36,1.61,Ot,59.1,Hp,40.9,0,90.9,9.1
nifan,腻烦,bored,0,5.58,1.26,Dg,100,NA,0,0,95.8,4.2
pa,怕,fear,2,4.75,1.61,Fr,95.8,Nu,4.2,0,62.5,37.5
peifu,佩服,admire,0,4.65,1.55,Ot,43.5,Hp,43.5,87,0,13
pianai,偏爱,favor,0,5,0.98,Hp,73.9,Ot,26.1,34.8,17.4,47.8
qiangua,牵挂,care,0,4.17,1.43,Ot,39.1,Ax,30.4,69.6,4.3,26.1
qiaobuqi,瞧不起,look,0,4.61,1.63,Dg,73.9,Ot,21.7,0,95.7,4.3
